type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-12),-12,-0.047531356361280495,0.04478952560758243,-0.18418278172085206,0.08912006899829106,-0.13531721343677652,0.04025450071421554
dynamic,ATT(-11),-11,0.017324110190963568,0.04869645931789678,-0.13124724629217926,0.16589546667410643,-0.07811919624673404,0.11276741662866117
dynamic,ATT(-10),-10,-0.02780988830185887,0.04722467346943674,-0.17189087273287929,0.11627109612916153,-0.12036854748361905,0.06474877087990133
dynamic,ATT(-9),-9,0.0623409271649463,0.04736730920380334,-0.08217523437822252,0.20685708870811512,-0.03049729291908085,0.15517914724897344
dynamic,ATT(-8),-8,-0.03165042792064627,0.050908459533187955,-0.18697052706660594,0.12366967122531342,-0.1314291751141094,0.06812831927281687
dynamic,ATT(-7),-7,-0.05594702780433699,0.053789237818377675,-0.22005629034231602,0.10816223473364203,-0.16137199668421703,0.04947794107554306
dynamic,ATT(-6),-6,0.029858820385843612,0.05491352181146491,-0.1376805970394717,0.19739823781115892,-0.07776970462888229,0.1374873454005695
dynamic,ATT(-5),-5,0.03091339333363404,0.05495467223305192,-0.13675157272582575,0.19857835939309385,-0.07679578502535106,0.13862257169261913
dynamic,ATT(-4),-4,-0.03037728102602729,0.06262181423629402,-0.22143445472699658,0.16067989267494198,-0.15311378157572117,0.0923592195236666
dynamic,ATT(-3),-3,-0.06292572279736428,0.07441063858557707,-0.28995022655575287,0.16409878096102434,-0.20876789449172178,0.08291644889699323
dynamic,ATT(-2),-2,0.022560045398402444,0.05259927724415078,-0.1379186850813788,0.1830387758781837,-0.0805326436129703,0.12565273440977517
dynamic,ATT(-1),-1,0.06622060598744436,0.05258526115583427,-0.09421536185039248,0.2266565738252812,-0.036844611995623874,0.16928582397051262
dynamic,ATT(0),0,0.031162093431685925,0.0751146808964993,-0.19801042113940664,0.2603346080027785,-0.11605997583567147,0.17838416269904334
dynamic,ATT(1),1,0.05962857276308754,0.06271149431926606,-0.13170221203329419,0.25095935755946924,-0.06328369751936211,0.1825408430455372
dynamic,ATT(2),2,0.0065797245517729384,0.07524758710859981,-0.22299828266690425,0.23615773177045013,-0.14090283610462312,0.154062285208169
dynamic,ATT(3),3,-0.06001047781105502,0.08532626428731398,-0.32033821018371145,0.20031725456160143,-0.22724688274953658,0.10722592712742655
dynamic,ATT(4),4,0.06217493166003337,0.08397312880367461,-0.19402442716913035,0.3183742904891971,-0.10240937646431186,0.22675923978437862
dynamic,ATT(5),5,0.11948196598712416,0.08070781852751578,-0.1267550345132695,0.3657189664875178,-0.038702451597601245,0.2776663835718496
dynamic,ATT(6),6,0.02194814836095585,0.07426809274848918,-0.20464145255903707,0.24853774928094877,-0.12361463862656327,0.16751093534847497
dynamic,ATT(7),7,0.05717750309638406,0.10291903305509731,-0.25682521010107395,0.3711802162938421,-0.14454009501529394,0.25889510120806203
dynamic,ATT(8),8,0.37580467178573584,0.14623623842390557,-0.07035746431123252,0.8219668078827043,0.08918691124026862,0.6624224323312031
dynamic,ATT(9),9,0.021910004323659735,0.10702388244783358,-0.3046164744818185,0.348436483129138,-0.18785295075974245,0.23167295940706195
