type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-12),-12,0.007967392271733681,0.022713455669545676,-0.048883149199002475,0.06481793374246983,-0.036550162805022934,0.052484947348490296
dynamic,ATT(-11),-11,0.015081614454601312,0.014030836383720944,-0.020036804217875234,0.05020003312707785,-0.012418319530465946,0.04258154843966857
dynamic,ATT(-10),-10,-0.015782675076607786,0.014153328114632149,-0.05120768387474833,0.019642333721532762,-0.04352268844266498,0.011957338289449407
dynamic,ATT(-9),-9,0.005630369738347086,0.011221292294211281,-0.02245591322134624,0.03371665269804041,-0.016362959018303855,0.02762369849499803
dynamic,ATT(-8),-8,-0.021356723738975784,0.009875627052586133,-0.04607487994870421,0.0033614324707526427,-0.04071259708679405,-0.0020008503911575215
dynamic,ATT(-7),-7,0.009046021388772339,0.013536490608348032,-0.02483507675385623,0.04292711953140091,-0.017485012680654485,0.03557705545819916
dynamic,ATT(-6),-6,0.0045743951390782005,0.007890458024413342,-0.01517499120117243,0.02432378147932883,-0.010890618410297013,0.020039408688453414
dynamic,ATT(-5),-5,0.010579815440784122,0.02268645378315381,-0.046203141780138075,0.06736277266170632,-0.033884816911129795,0.05504444779269804
dynamic,ATT(-4),-4,-0.015994776090072618,0.01962172530553382,-0.0651068849844193,0.03311733280427407,-0.054452651003457087,0.02246309882331185
dynamic,ATT(-3),-3,0.017410178041401107,0.023157244133409055,-0.04055114176426394,0.07537149784706616,-0.027977186441282085,0.0627975425240843
dynamic,ATT(-2),-2,-0.007790461916225857,0.01015732732032936,-0.03321369854113419,0.01763277470868248,-0.027698457643256135,0.01211753381080442
dynamic,ATT(-1),-1,-0.006686178344650325,0.021073214254637283,-0.05943128496051775,0.0460589282712171,-0.047988919322235465,0.03461656263293482
dynamic,ATT(0),0,0.0032309697972601964,0.01722130078701711,-0.03987300737011728,0.04633494696463767,-0.030522159512224617,0.03698409910674501
dynamic,ATT(1),1,0.024385041150868134,0.018675618215438235,-0.022359013267586804,0.07112909556932306,-0.012218497940410994,0.06098858024214726
dynamic,ATT(2),2,-0.01152713330343156,0.030807030525572217,-0.08863545147240837,0.06558118486554523,-0.07190780360417914,0.048853536997316024
dynamic,ATT(3),3,0.020570677841735743,0.02161114334749258,-0.03352083597198882,0.07466219165546031,-0.021786384784082086,0.06292774046755358
dynamic,ATT(4),4,0.03244780021288647,0.03565717962557428,-0.056800176780380365,0.12169577720615331,-0.03743898764351451,0.10233458806928745
dynamic,ATT(5),5,0.0460425307076267,0.03392519002786955,-0.038870370730262706,0.1309554321455161,-0.02044961991567499,0.1125346813309284
dynamic,ATT(6),6,0.04523131850420715,0.07186540755653638,-0.13464387935404762,0.2251065163624619,-0.09562229204089678,0.18608492904931107
dynamic,ATT(7),7,0.015197235355793136,0.020640148532136814,-0.03646393136229916,0.06685840207388544,-0.025256712402752277,0.055651183114338545
dynamic,ATT(8),8,0.04243955609352083,0.0699561092610007,-0.1326567722034679,0.21753588439050958,-0.09467189855658943,0.1795510107436311
